,12-00245_B3_-1,12-00241_B3_-1,23-00796_B3_-1,11-00840_B3_-1,24-00157_B3_-1,19-00874_B3_-1,10-00134_B3_-1,12-00315_B3_-1,18-00159_B3_-1,10-00310_B3_-1,10-00325_B3_-1,16-00302_B3_-1,11-00297_B3_-1,11-00684_B3_-1,11-00694_B3_-1,06-00057_B3_10,14-00573_B3_14,20-00034_B3_15,14-00370_B3_19,10-00107_B3_20,10-00294_B3_21,10-00557_B3_22,19-00076_B3_23,10-00088_B3_24,19-00320_B3_25,14-00277_B3_26,15-01284_B3_27,16-00572_B3_40,24-01002_B3_41,16-00348_B3_103
12-00245_B3_-1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-00241_B3_-1,0.01754385964912286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-00796_B3_-1,0.037280701754385914,0.02412280701754388,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-00840_B3_-1,0.02412280701754388,0.006578947368421018,0.030701754385964897,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24-00157_B3_-1,0.04385964912280704,0.02631578947368418,0.02412280701754388,0.028508771929824595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
19-00874_B3_-1,0.030701754385964897,0.01754385964912286,0.04166666666666663,0.02412280701754388,0.04385964912280704,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10-00134_B3_-1,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.0,,,,,,,,,,,,,,,,,,,,,,,
12-00315_B3_-1,0.028508771929824595,0.015350877192982448,0.03947368421052633,0.021929824561403466,0.04166666666666663,0.010964912280701733,0.006578947368421018,0.0,,,,,,,,,,,,,,,,,,,,,,
18-00159_B3_-1,0.02412280701754388,0.006578947368421018,0.030701754385964897,0.00877192982456143,0.028508771929824595,0.02412280701754388,0.019736842105263164,0.021929824561403466,0.0,,,,,,,,,,,,,,,,,,,,,
10-00310_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,,,,,,,,,,,,,,,,,,,,
10-00325_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,,,,,,,,,,,,,,,,,,,
16-00302_B3_-1,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.0,,,,,,,,,,,,,,,,,,
11-00297_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,,,,,,,,,,,,,,,,,
11-00684_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,,,,,,,,,,,,,,,,
11-00694_B3_-1,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,0.0,,,,,,,,,,,,,,,
06-00057_B3_10,0.004385964912280715,0.01754385964912286,0.03289473684210531,0.02412280701754388,0.04385964912280704,0.030701754385964897,0.02631578947368418,0.028508771929824595,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02631578947368418,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.0,,,,,,,,,,,,,,
14-00573_B3_14,0.021929824561403466,0.004385964912280715,0.028508771929824595,0.010964912280701733,0.030701754385964897,0.021929824561403466,0.01754385964912286,0.019736842105263164,0.010964912280701733,0.015350877192982448,0.015350877192982448,0.01754385964912286,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.021929824561403466,0.0,,,,,,,,,,,,,
20-00034_B3_15,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.010964912280701733,0.006578947368421018,0.00877192982456143,0.01754385964912286,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.02412280701754388,0.015350877192982448,0.0,,,,,,,,,,,,
14-00370_B3_19,0.028508771929824595,0.010964912280701733,0.03508771929824561,0.013157894736842146,0.03289473684210531,0.028508771929824595,0.02412280701754388,0.02631578947368418,0.013157894736842146,0.021929824561403466,0.021929824561403466,0.02412280701754388,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.028508771929824595,0.015350877192982448,0.021929824561403466,0.0,,,,,,,,,,,
10-00107_B3_20,0.021929824561403466,0.013157894736842146,0.03289473684210531,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.021929824561403466,0.01754385964912286,0.006578947368421018,0.02412280701754388,0.0,,,,,,,,,,
10-00294_B3_21,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.02631578947368418,0.01754385964912286,0.006578947368421018,0.02412280701754388,0.004385964912280715,0.0,,,,,,,,,
10-00557_B3_22,0.02631578947368418,0.013157894736842146,0.03508771929824561,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.02412280701754388,0.01754385964912286,0.006578947368421018,0.02412280701754388,0.004385964912280715,0.004385964912280715,0.0,,,,,,,,
19-00076_B3_23,0.028508771929824595,0.015350877192982448,0.03947368421052633,0.021929824561403466,0.04166666666666663,0.010964912280701733,0.006578947368421018,0.00877192982456143,0.021929824561403466,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.028508771929824595,0.019736842105263164,0.00877192982456143,0.02631578947368418,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.0,,,,,,,
10-00088_B3_24,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,0.0,0.02412280701754388,0.015350877192982448,0.004385964912280715,0.021929824561403466,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,,,,,,
19-00320_B3_25,0.028508771929824595,0.015350877192982448,0.03947368421052633,0.021929824561403466,0.04166666666666663,0.010964912280701733,0.006578947368421018,0.00877192982456143,0.021929824561403466,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.028508771929824595,0.019736842105263164,0.00877192982456143,0.02631578947368418,0.006578947368421018,0.006578947368421018,0.006578947368421018,0.00877192982456143,0.004385964912280715,0.0,,,,,
14-00277_B3_26,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.02631578947368418,0.01754385964912286,0.006578947368421018,0.02412280701754388,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.002192982456140302,0.006578947368421018,0.0,,,,
15-01284_B3_27,0.02631578947368418,0.013157894736842146,0.037280701754385914,0.019736842105263164,0.03947368421052633,0.00877192982456143,0.004385964912280715,0.006578947368421018,0.019736842105263164,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.02631578947368418,0.01754385964912286,0.006578947368421018,0.02412280701754388,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.006578947368421018,0.002192982456140302,0.006578947368421018,0.004385964912280715,0.0,,,
16-00572_B3_40,0.019736842105263164,0.002192982456140302,0.02631578947368418,0.004385964912280715,0.02412280701754388,0.019736842105263164,0.015350877192982448,0.01754385964912286,0.004385964912280715,0.013157894736842146,0.013157894736842146,0.015350877192982448,0.013157894736842146,0.013157894736842146,0.013157894736842146,0.019736842105263164,0.006578947368421018,0.013157894736842146,0.00877192982456143,0.015350877192982448,0.015350877192982448,0.015350877192982448,0.01754385964912286,0.013157894736842146,0.01754385964912286,0.015350877192982448,0.015350877192982448,0.0,,
24-01002_B3_41,0.04385964912280704,0.030701754385964897,0.028508771929824595,0.037280701754385914,0.030701754385964897,0.02631578947368418,0.021929824561403466,0.02412280701754388,0.037280701754385914,0.019736842105263164,0.019736842105263164,0.021929824561403466,0.019736842105263164,0.019736842105263164,0.019736842105263164,0.04385964912280704,0.03508771929824561,0.02412280701754388,0.04166666666666663,0.021929824561403466,0.021929824561403466,0.021929824561403466,0.02412280701754388,0.019736842105263164,0.02412280701754388,0.021929824561403466,0.021929824561403466,0.03289473684210531,0.0,
16-00348_B3_103,0.02412280701754388,0.010964912280701733,0.03508771929824561,0.01754385964912286,0.037280701754385914,0.006578947368421018,0.002192982456140302,0.004385964912280715,0.01754385964912286,0.0,0.0,0.002192982456140302,0.0,0.0,0.0,0.02412280701754388,0.015350877192982448,0.004385964912280715,0.021929824561403466,0.002192982456140302,0.002192982456140302,0.002192982456140302,0.004385964912280715,0.0,0.004385964912280715,0.002192982456140302,0.002192982456140302,0.013157894736842146,0.019736842105263164,0.0
