SequenceName,ClusterNumber,type,date
18-00221,15,B3,2018-04-05
18-00223,15,B3,2018-04-04
19-00590,15,B3,2019-04-30
19-00592,15,B3,2019-04-30
19-01006,15,B3,2019-08-27
19-00994,15,B3,2019-08-19
19-00585,15,B3,2019-04-24
18-00965,15,B3,2018-11-13
18-00654,15,B3,2018-07-11
17-01267,15,B3,2017-12-06
16-00796,15,B3,2016-11-28
16-00795,15,B3,2016-11-28
16-00792,15,B3,2016-11-29
16-00787,15,B3,2016-11-26
16-00786,15,B3,2016-11-25
16-00793,15,B3,2016-11-25
16-00774,15,B3,2016-11-20
16-00764,15,B3,2016-11-18
16-00757,15,B3,2016-11-17
16-00758,15,B3,2016-11-16
16-00707,15,B3,2016-11-07
16-00701,15,B3,2016-11-04
16-00714,15,B3,2016-11-01
16-00685,15,B3,2016-10-25
16-00648,15,B3,2016-10-11
17-00131,15,B3,2017-02-09
17-00040,15,B3,2017-01-16
17-00022,15,B3,2017-01-09
17-00020,15,B3,2017-01-06
16-00809,15,B3,2016-12-30
16-00860,15,B3,2016-12-23
16-00851,15,B3,2016-12-16
16-00815,15,B3,2016-12-01
16-00814,15,B3,2016-12-01
17-00310,15,B3,2017-02-26
17-00309,15,B3,2017-02-24
17-00203,15,B3,2017-02-15
17-00192,15,B3,2017-02-13
17-00128,15,B3,2017-02-10
17-00151,15,B3,2017-02-02
17-00149,15,B3,2017-01-27
17-00090,15,B3,2017-01-26
17-00078,15,B3,2017-01-25
17-00089,15,B3,2017-01-24
17-00059,15,B3,2017-01-20
17-00060,15,B3,2017-01-20
17-00041,15,B3,2017-01-17
17-00079,15,B3,2017-01-17
17-00052,15,B3,2017-01-17
17-00051,15,B3,2017-01-16
17-00050,15,B3,2017-01-13
17-00416,15,B3,2017-03-19
17-00330,15,B3,2017-03-14
17-00334,15,B3,2017-03-14
17-00295,15,B3,2017-03-06
18-00236,15,B3,2018-04-09
18-00255,15,B3,2018-04-12
18-00230,15,B3,2018-04-04
18-00226,15,B3,2018-03-28
18-00201,15,B3,2018-03-27
18-00173,15,B3,2018-03-17
18-00170,15,B3,2018-03-15
18-00151,15,B3,2018-03-08
18-00147,15,B3,2018-03-08
18-00152,15,B3,2018-03-08
18-00166,15,B3,2018-03-07
18-00149,15,B3,2018-03-06
18-00143,15,B3,2018-03-02
17-00271,15,B3,2017-03-06
17-00278,15,B3,2017-03-06
17-00274,15,B3,2017-03-06
17-00277,15,B3,2017-03-06
17-00336,15,B3,2017-03-14
18-00292,15,B3,2018-04-22
18-00286,15,B3,2018-04-22
17-00104,15,B3,2017-02-03
17-00046,15,B3,2017-01-19
19-00601,15,B3,2019-05-08
19-00578,15,B3,2019-04-25
19-00487,15,B3,2019-04-09
19-00355,15,B3,2019-03-19
05-00473,16,D6,2005-07-06
05-00469,16,D6,2005-07-01
05-00467,16,D6,2005-06-30
05-00464,16,D6,2005-06-27
05-00465,16,D6,2005-06-27
05-00374,16,D6,2005-06-08
05-00355,16,D6,2005-05-31
05-00353,16,D6,2005-05-31
05-00322,16,D6,2005-05-23
05-00321,16,D6,2005-05-20
05-00288,16,D6,2005-05-13
05-00287,16,D6,2005-05-13
05-00266,16,D6,2005-05-03
05-00265,16,D6,2005-05-02
05-00255,16,D6,2005-04-28
04-00132,16,D6,2004-05-18
06-00377,16,D6,2006-05-09
06-00376,16,D6,2006-05-09
08-00275,-1,D5,2008-04-18
14-00178,-1,D8,2014-04-03
08-00505,17,D8,2008-05-21
08-00461,17,D8,2008-05-19
08-00437,17,D8,2008-05-08
08-00385,17,D8,2008-05-05
08-00360,17,D8,2008-04-29
08-00302,17,D8,2008-04-20
08-00727,-1,D8,2008-07-31
10-00057,-1,D8,2010-02-25
13-00670,18,D8,2013-08-26
14-00356,18,D8,2014-06-05
13-00665,18,D8,2013-08-20
13-00649,18,D8,2013-08-15
13-00646,18,D8,2013-08-13
13-00650,18,D8,2013-08-13
13-00614,18,D8,2013-07-23
13-00205,18,D8,2013-05-06
13-00261,18,D8,2013-05-16
13-00191,18,D8,2013-04-30
13-00838,18,D8,2013-11-13
07-00746,18,D8,2007-12-05
11-00840,-1,B3,2011-09-19
24-00157,-1,B3,2024-02-05
14-00370,19,B3,2014-06-11
14-00348,19,B3,2014-06-03
14-00336,19,B3,2014-05-28
14-00221,19,B3,2014-04-15
14-00215,19,B3,2014-04-14
14-00211,19,B3,2014-04-10
14-00212,19,B3,2014-04-10
14-00169,19,B3,2014-03-23
14-00361,19,B3,2014-06-10
14-00354,19,B3,2014-06-06
19-00874,-1,B3,2019-07-11
10-00134,-1,B3,2010-04-27
12-00315,-1,B3,2012-09-16
10-00107,20,B3,2010-04-14
10-00093,20,B3,2010-03-29
10-00294,21,B3,2010-06-29
10-00295,21,B3,2010-06-30
10-00266,21,B3,2010-06-21
10-00259,21,B3,2010-06-10
10-00557,22,B3,2010-10-21
10-00598,22,B3,2010-11-12
10-00534,22,B3,2010-10-13
11-00006,22,B3,2011-01-10
19-00076,23,B3,2019-01-24
19-00163,23,B3,2019-02-20
19-01000,23,B3,2019-08-21
21-00545,23,B3,2021-12-23
21-00544,23,B3,2021-12-21
10-00088,24,B3,2010-03-22
10-00105,24,B3,2010-04-08
10-00084,24,B3,2010-03-18
11-00627,24,B3,2011-06-09
10-00328,24,B3,2010-07-13
19-00320,25,B3,2019-02-07
19-00653,25,B3,2019-04-25
19-00319,25,B3,2019-02-01
19-00318,25,B3,2019-01-30
19-00342,25,B3,2019-01-29
19-00317,25,B3,2019-01-23
19-00056,25,B3,2019-01-16
19-00041,25,B3,2019-01-11
14-00277,26,B3,2014-04-29
14-00275,26,B3,2014-05-01
14-00241,26,B3,2014-04-25
14-00210,26,B3,2014-04-11
14-00163,26,B3,2014-03-29
14-00047,26,B3,2014-02-10
14-00099,26,B3,2014-03-06
14-00043,26,B3,2014-02-07
15-01284,27,B3,2015-07-28
15-01283,27,B3,2015-07-28
15-01297,27,B3,2015-08-05
15-01303,27,B3,2015-08-14
15-01282,27,B3,2015-07-27
15-01275,27,B3,2015-07-26
15-01266,27,B3,2015-07-21
15-01265,27,B3,2015-07-21
15-01255,27,B3,2015-07-15
15-01251,27,B3,2015-07-14
15-01217,27,B3,2015-07-13
15-01209,27,B3,2015-07-08
13-00848,27,B3,2013-11-19
13-00876,27,B3,2013-12-03
13-00819,27,B3,2013-11-04
15-01381,27,B3,2015-09-25
16-00213,27,B3,2016-04-27
15-01321,27,B3,2015-08-31
15-01422,27,B3,2015-10-08
18-00288,27,B3,2018-04-20
18-00344,27,B3,2018-04-26
19-01010,27,B3,2019-08-18
18-00379,27,B3,2018-05-07
18-00156,27,B3,2018-03-09
18-00259,27,B3,2018-04-12
15-01430,27,B3,2015-10-19
15-01429,27,B3,2015-10-19
06-00456,-1,D6,2006-05-30
06-00541,-1,D6,2006-06-20
06-00153,-1,D6,2006-03-21
06-00568,-1,D6,2006-06-28
06-00361,-1,D6,2006-05-02
06-00197,-1,D6,2006-03-30
06-00511,28,D6,2006-06-13
06-00460,28,D6,2006-05-30
06-00226,29,D6,2006-04-07
06-00224,29,D6,2006-04-06
06-00379,30,D6,2006-05-10
06-00219,30,D6,2006-04-06
06-00230,31,D6,2006-04-10
06-00351,31,D6,2006-04-27
06-00275,31,D6,2006-04-20
06-00254,32,D6,2006-04-18
06-00263,32,D6,2006-04-18
06-00287,32,D6,2006-04-20
06-00299,32,D6,2006-04-25
06-00205,32,D6,2006-04-05
06-00199,32,D6,2006-04-04
06-00445,-1,D4,2006-05-29
06-00630,33,D4,2006-07-25
06-00595,33,D4,2006-07-10
06-00572,33,D4,2006-06-29
06-00558,33,D4,2006-06-23
06-00505,33,D4,2006-06-09
06-00496,33,D4,2006-06-08
06-00494,33,D4,2006-06-08
06-00497,33,D4,2006-06-08
06-00468,33,D4,2006-06-06
06-00478,33,D4,2006-06-06
06-00467,33,D4,2006-06-02
06-00462,33,D4,2006-05-31
06-00437,33,D4,2006-05-24
06-00419,33,D4,2006-05-22
06-00401,33,D4,2006-05-15
06-00400,33,D4,2006-05-15
06-00392,33,D4,2006-05-12
06-00367,33,D4,2006-05-04
06-00156,34,D4,2006-03-24
06-00203,34,D4,2006-03-25
06-00059,34,D4,2006-02-07
06-00583,34,D4,2006-07-04
06-00211,34,D4,2006-04-05
06-00193,34,D4,2006-03-28
08-00517,-1,D5,2008-05-26
16-00037,35,D8,2016-01-27
16-00023,35,D8,2016-01-20
10-00097,36,D8,2010-03-30
10-00098,36,D8,2010-03-30
17-01221,37,D8,2017-11-22
17-01263,37,D8,2017-12-01
17-00391,37,D8,2017-03-22
18-00805,38,D8,2018-09-21
18-00804,38,D8,2018-09-21
18-00689,38,D8,2018-07-23
18-00682,38,D8,2018-07-18
18-00660,38,D8,2018-07-11
18-00609,38,D8,2018-06-30
18-00619,38,D8,2018-06-30
18-00566,38,D8,2018-06-19
18-00562,38,D8,2018-06-19
18-00548,38,D8,2018-06-15
18-00510,38,D8,2018-06-08
18-00476,38,D8,2018-06-01
18-00529,38,D8,2018-05-22
18-00450,38,D8,2018-05-22
18-00449,38,D8,2018-05-22
18-00432,38,D8,2018-05-22
18-00431,38,D8,2018-05-19
18-00434,38,D8,2018-05-19
18-00408,38,D8,2018-05-15
18-00390,38,D8,2018-05-08
18-00388,38,D8,2018-05-08
18-00377,38,D8,2018-05-04
18-00332,38,D8,2018-04-25
18-00284,38,D8,2018-04-17
18-00186,38,D8,2018-03-22
07-00288,-1,D8,2007-04-27
07-00330,39,D8,2007-05-08
07-00302,39,D8,2007-04-28
18-00159,-1,B3,2018-03-09
16-00572,40,B3,2016-08-24
15-01423,40,B3,2015-10-08
23-00231,40,B3,2023-04-05
17-00366,40,B3,2017-03-15
17-00221,40,B3,2017-02-23
24-01002,41,B3,2024-07-19
24-00243,41,B3,2024-02-24
19-01319,41,B3,2019-12-05
06-00127,42,D6,2006-03-09
06-00130,42,D6,2006-03-13
06-00051,42,D6,2006-02-16
08-00646,43,D4,2008-07-03
08-00591,43,D4,2008-06-17
07-00739,44,D4,2007-11-28
07-00741,44,D4,2007-11-28
07-00698,44,D4,2007-11-12
07-00699,44,D4,2007-11-12
07-00695,44,D4,2007-11-06
07-00734,44,D4,2007-11-22
09-00363,45,D4,2009-06-15
09-00429,45,D4,2009-09-11
09-00290,45,D4,2009-05-19
09-00254,45,D4,2009-05-06
09-00283,45,D4,2009-05-19
09-00289,45,D4,2009-05-19
09-00251,45,D4,2009-05-05
10-00209,46,D4,2010-05-25
10-00216,46,D4,2010-06-01
10-00188,46,D4,2010-05-17
10-00189,46,D4,2010-05-15
10-00164,46,D4,2010-05-10
10-00169,46,D4,2010-05-10
10-00161,46,D4,2010-05-07
10-00153,46,D4,2010-05-03
10-00143,46,D4,2010-05-02
10-00133,46,D4,2010-04-29
10-00123,46,D4,2010-04-20
10-00110,46,D4,2010-04-19
10-00130,46,D4,2010-04-28
08-00594,-1,D5,2008-06-17
15-01204,-1,D8,2015-07-02
17-00230,47,D8,2017-02-27
17-00162,47,D8,2017-02-13
17-00995,48,D8,2017-08-10
17-00983,48,D8,2017-08-14
15-01434,48,D8,2015-06-12
17-00177,49,D8,2017-02-16
17-00269,49,D8,2017-03-03
17-00109,49,D8,2017-02-01
18-00181,50,D8,2018-03-22
18-00086,50,D8,2018-02-01
18-00088,50,D8,2018-02-01
18-00857,50,D8,2018-10-11
16-00112,51,D8,2016-03-11
16-00113,51,D8,2016-03-11
16-00111,51,D8,2016-03-11
16-00120,51,D8,2016-03-04
16-00317,51,D8,2016-06-02
16-00312,51,D8,2016-05-30
18-00069,52,D8,2018-01-19
18-00068,52,D8,2018-01-19
17-01148,52,D8,2017-10-26
16-00564,52,D8,2016-08-17
16-00560,52,D8,2016-08-16
16-00524,52,D8,2016-08-05
16-00510,52,D8,2016-07-27
16-00500,52,D8,2016-07-27
16-00467,52,D8,2016-07-20
16-00393,52,D8,2016-06-22
16-00561,52,D8,2016-08-08
17-00200,53,D8,2017-02-15
17-00335,53,D8,2017-03-14
17-00158,53,D8,2017-02-15
17-00157,53,D8,2017-02-15
17-00094,53,D8,2017-02-03
17-00103,53,D8,2017-02-03
17-00115,53,D8,2017-02-02
17-00092,53,D8,2017-02-02
17-00097,53,D8,2017-02-01
17-00083,53,D8,2017-01-30
17-00053,53,D8,2017-01-23
17-00027,53,D8,2017-01-15
17-00012,53,D8,2017-01-06
17-00010,53,D8,2017-01-06
16-00859,53,D8,2016-12-27
16-00789,53,D8,2016-11-25
16-00759,53,D8,2016-11-17
16-00132,53,D8,2016-03-23
24-00591,53,D8,2024-05-03
23-00302,53,D8,2023-05-12
23-00273,53,D8,2023-05-04
23-00249,53,D8,2023-04-27
24-00908,53,D8,2024-07-08
24-01101,53,D8,2024-08-27
15-01247,53,D8,2015-07-10
15-01207,53,D8,2015-06-30
15-01084,53,D8,2015-05-29
15-01051,53,D8,2015-05-19
14-00698,53,D8,2014-10-14
17-00314,53,D8,2017-03-09
17-00180,53,D8,2017-02-20
16-00850,53,D8,2016-12-06
17-00371,54,D8,2017-03-21
17-00382,54,D8,2017-03-22
17-00355,54,D8,2017-03-20
17-00354,54,D8,2017-03-17
17-00322,54,D8,2017-03-14
17-00332,54,D8,2017-03-14
17-00292,54,D8,2017-03-08
17-00266,54,D8,2017-03-07
17-00267,54,D8,2017-03-06
17-00265,54,D8,2017-03-01
17-00247,54,D8,2017-02-28
17-00254,54,D8,2017-02-28
17-00238,54,D8,2017-02-27
17-00191,54,D8,2017-02-22
17-00216,54,D8,2017-02-21
17-00188,54,D8,2017-02-20
17-00184,54,D8,2017-02-20
17-00187,54,D8,2017-02-18
17-00189,54,D8,2017-02-18
17-00179,54,D8,2017-02-17
17-00155,54,D8,2017-02-14
17-00107,54,D8,2017-02-02
19-00220,54,D8,2019-03-06
19-00222,54,D8,2019-03-06
19-00820,54,D8,2019-06-28
17-00616,54,D8,2017-05-11
17-00581,54,D8,2017-05-08
17-00502,54,D8,2017-04-21
17-00471,54,D8,2017-04-04
17-00449,54,D8,2017-04-03
17-00427,54,D8,2017-03-30
17-00421,54,D8,2017-03-30
17-00411,54,D8,2017-03-27
17-00405,54,D8,2017-03-27
20-00221,55,D8,2020-03-06
20-00290,55,D8,2020-03-12
20-00224,55,D8,2020-03-05
20-00209,55,D8,2020-03-04
20-00225,55,D8,2020-03-04
20-00206,55,D8,2020-03-03
20-00207,55,D8,2020-02-28
20-00200,55,D8,2020-02-27
20-00223,55,D8,2020-02-27
20-00193,55,D8,2020-02-26
20-00194,55,D8,2020-02-26
20-00167,55,D8,2020-02-19
20-00150,55,D8,2020-02-13
20-00148,55,D8,2020-02-13
20-00149,55,D8,2020-02-13
20-00119,55,D8,2020-02-03
20-00120,55,D8,2020-02-03
20-00128,55,D8,2020-01-31
20-00097,55,D8,2020-01-24
20-00098,55,D8,2020-01-24
20-00088,55,D8,2020-01-23
20-00085,55,D8,2020-01-23
20-00077,55,D8,2020-01-22
20-00087,55,D8,2020-01-22
20-00086,55,D8,2020-01-21
20-00050,55,D8,2020-01-17
20-00029,55,D8,2020-01-09
19-01229,55,D8,2019-11-12
19-01181,55,D8,2019-10-28
19-01095,55,D8,2019-09-25
19-01090,55,D8,2019-09-25
19-01096,55,D8,2019-09-24
19-01093,55,D8,2019-09-23
19-01094,55,D8,2019-09-23
19-01092,55,D8,2019-09-17
19-01056,55,D8,2019-09-17
19-01035,55,D8,2019-09-09
19-01014,55,D8,2019-09-04
19-01015,55,D8,2019-09-03
19-01034,55,D8,2019-09-03
19-01011,55,D8,2019-08-26
19-00980,55,D8,2019-08-13
19-00969,55,D8,2019-08-07
19-00965,55,D8,2019-08-06
19-00966,55,D8,2019-08-06
19-00936,55,D8,2019-07-25
19-00888,55,D8,2019-07-25
19-00860,55,D8,2019-07-16
19-00861,55,D8,2019-07-12
19-00839,55,D8,2019-07-05
19-00810,55,D8,2019-06-25
19-00817,55,D8,2019-06-21
19-00813,55,D8,2019-06-21
19-00796,55,D8,2019-06-17
19-00766,55,D8,2019-06-11
19-00726,55,D8,2019-06-02
19-00705,55,D8,2019-05-30
19-00706,55,D8,2019-05-29
19-00679,55,D8,2019-05-21
19-00643,55,D8,2019-05-15
19-00630,55,D8,2019-05-13
19-00609,55,D8,2019-05-07
19-00604,55,D8,2019-05-06
19-00657,55,D8,2019-05-02
19-00654,55,D8,2019-04-30
19-00656,55,D8,2019-04-29
19-00573,55,D8,2019-04-26
19-00580,55,D8,2019-04-18
19-00651,55,D8,2019-04-18
19-00650,55,D8,2019-04-17
19-00649,55,D8,2019-04-15
19-00513,55,D8,2019-04-15
19-00648,55,D8,2019-04-15
19-00647,55,D8,2019-04-11
19-00517,55,D8,2019-04-11
19-00492,55,D8,2019-04-11
19-00566,55,D8,2019-04-09
19-00460,55,D8,2019-04-05
19-00506,55,D8,2019-04-04
19-00461,55,D8,2019-04-01
19-00404,55,D8,2019-03-30
19-00390,55,D8,2019-03-29
19-00401,55,D8,2019-03-29
19-00382,55,D8,2019-03-28
19-00393,55,D8,2019-03-28
19-00504,55,D8,2019-03-28
19-00383,55,D8,2019-03-28
19-00374,55,D8,2019-03-27
19-00380,55,D8,2019-03-27
19-00411,55,D8,2019-03-27
19-00366,55,D8,2019-03-26
19-00369,55,D8,2019-03-26
19-00361,55,D8,2019-03-25
19-00367,55,D8,2019-03-24
19-00353,55,D8,2019-03-22
19-00348,55,D8,2019-03-22
19-00373,55,D8,2019-03-22
19-00352,55,D8,2019-03-22
19-00793,55,D8,2019-03-21
19-00337,55,D8,2019-03-21
19-00365,55,D8,2019-03-20
19-00503,55,D8,2019-03-20
19-00499,55,D8,2019-03-19
19-00500,55,D8,2019-03-19
19-00316,55,D8,2019-03-18
19-00498,55,D8,2019-03-18
19-00497,55,D8,2019-03-16
19-00286,55,D8,2019-03-15
19-00282,55,D8,2019-03-15
19-00310,55,D8,2019-03-14
19-00308,55,D8,2019-03-14
19-00309,55,D8,2019-03-14
19-00288,55,D8,2019-03-14
19-00264,55,D8,2019-03-13
19-00281,55,D8,2019-03-12
19-00253,55,D8,2019-03-11
19-00307,55,D8,2019-03-11
19-00255,55,D8,2019-03-09
19-00254,55,D8,2019-03-09
19-00245,55,D8,2019-03-08
19-00241,55,D8,2019-03-07
19-00223,55,D8,2019-03-07
19-00219,55,D8,2019-03-06
19-00305,55,D8,2019-03-06
19-00302,55,D8,2019-03-06
19-00304,55,D8,2019-03-06
19-00303,55,D8,2019-03-06
19-00297,55,D8,2019-03-05
19-00226,55,D8,2019-03-05
19-00298,55,D8,2019-03-05
19-00228,55,D8,2019-03-05
19-00204,55,D8,2019-03-04
19-00243,55,D8,2019-03-04
19-00203,55,D8,2019-03-01
19-00196,55,D8,2019-02-28
19-00315,55,D8,2019-02-27
19-00171,55,D8,2019-02-25
19-00168,55,D8,2019-02-25
19-00173,55,D8,2019-02-25
19-00212,55,D8,2019-02-22
19-00160,55,D8,2019-02-21
19-00172,55,D8,2019-02-20
19-00151,55,D8,2019-02-18
19-00195,55,D8,2019-02-18
19-00134,55,D8,2019-02-15
19-00144,55,D8,2019-02-13
19-00147,55,D8,2019-02-11
19-00148,55,D8,2019-02-07
19-00149,55,D8,2019-02-07
19-00110,55,D8,2019-02-06
19-00116,55,D8,2019-02-05
19-00103,55,D8,2019-02-01
19-00092,55,D8,2019-01-31
19-00090,55,D8,2019-01-30
19-00083,55,D8,2019-01-26
19-00091,55,D8,2019-01-25
19-00068,55,D8,2019-01-23
19-00060,55,D8,2019-01-21
19-00062,55,D8,2019-01-17
19-00054,55,D8,2019-01-17
19-00051,55,D8,2019-01-17
19-00064,55,D8,2019-01-17
19-00050,55,D8,2019-01-17
19-00052,55,D8,2019-01-17
19-00055,55,D8,2019-01-17
19-00053,55,D8,2019-01-17
19-00045,55,D8,2019-01-16
19-00109,55,D8,2019-01-16
19-00097,55,D8,2019-01-15
19-00046,55,D8,2019-01-14
19-00108,55,D8,2019-01-14
19-00037,55,D8,2019-01-14
19-00025,55,D8,2019-01-07
19-00010,55,D8,2018-12-27
19-00012,55,D8,2018-12-23
18-00993,55,D8,2018-12-11
18-00994,55,D8,2018-12-11
18-00986,55,D8,2018-12-04
18-00957,55,D8,2018-11-19
18-00943,55,D8,2018-11-18
18-00914,55,D8,2018-11-07
18-00862,55,D8,2018-09-28
18-00762,55,D8,2018-09-06
18-00768,55,D8,2018-09-06
18-00731,55,D8,2018-08-20
18-00717,55,D8,2018-08-15
18-00678,55,D8,2018-07-20
18-00666,55,D8,2018-07-16
18-00668,55,D8,2018-07-12
18-00642,55,D8,2018-07-09
18-00638,55,D8,2018-07-09
18-00637,55,D8,2018-07-06
18-00617,55,D8,2018-07-03
18-00625,55,D8,2018-07-02
18-00611,55,D8,2018-07-02
18-00604,55,D8,2018-07-02
18-00612,55,D8,2018-06-29
18-00592,55,D8,2018-06-26
18-00587,55,D8,2018-06-26
18-00580,55,D8,2018-06-25
18-00581,55,D8,2018-06-25
18-00572,55,D8,2018-06-22
18-00573,55,D8,2018-06-22
18-00564,55,D8,2018-06-21
18-00585,55,D8,2018-06-15
18-00583,55,D8,2018-06-15
18-00584,55,D8,2018-06-15
18-00549,55,D8,2018-06-13
18-00528,55,D8,2018-06-11
18-00513,55,D8,2018-06-07
18-00485,55,D8,2018-06-06
18-00484,55,D8,2018-06-06
18-00499,55,D8,2018-06-05
18-00500,55,D8,2018-06-04
18-00493,55,D8,2018-06-04
18-00490,55,D8,2018-06-04
18-00495,55,D8,2018-06-04
18-00460,55,D8,2018-05-25
18-00413,55,D8,2018-05-17
18-00416,55,D8,2018-05-16
18-00397,55,D8,2018-05-14
18-00384,55,D8,2018-05-09
18-00369,55,D8,2018-05-04
18-00376,55,D8,2018-05-03
18-00952,55,D8,2018-05-02
18-00953,55,D8,2018-04-27
18-00330,55,D8,2018-04-26
18-00347,55,D8,2018-04-26
18-00313,55,D8,2018-04-19
18-00278,55,D8,2018-04-19
18-00269,55,D8,2018-04-16
18-00268,55,D8,2018-04-16
18-00263,55,D8,2018-04-16
18-00260,55,D8,2018-04-15
18-00950,55,D8,2018-04-13
18-00252,55,D8,2018-04-09
18-00233,55,D8,2018-04-09
18-00949,55,D8,2018-04-04
18-00220,55,D8,2018-04-04
18-00218,55,D8,2018-04-04
18-00219,55,D8,2018-04-04
18-00222,55,D8,2018-04-03
18-00352,55,D8,2018-04-03
18-00213,55,D8,2018-03-30
18-00211,55,D8,2018-03-30
18-00214,55,D8,2018-03-30
18-00212,55,D8,2018-03-30
18-00177,55,D8,2018-03-20
17-00477,55,D8,2017-04-12
17-00468,55,D8,2017-04-12
19-00225,55,D8,2019-03-06
19-00169,55,D8,2019-02-25
19-00272,55,D8,2019-03-14
19-00349,55,D8,2019-03-22
19-00193,55,D8,2019-02-26
17-00321,55,D8,2017-03-13
17-00163,55,D8,2017-02-14
19-01183,55,D8,2019-10-28
19-00295,55,D8,2019-03-05
19-00211,55,D8,2019-02-20
19-00057,55,D8,2019-01-16
19-00042,55,D8,2019-01-09
18-00901,55,D8,2018-10-26
19-01024,55,D8,2019-08-30
20-00187,55,D8,2020-02-24
19-00586,55,D8,2019-05-02
19-00509,55,D8,2019-04-12
19-00721,55,D8,2019-06-03
19-00688,55,D8,2019-05-27
19-00658,55,D8,2019-05-09
19-00471,55,D8,2019-04-08
19-00613,55,D8,2019-05-10
17-01027,-1,D8,2017-09-04
09-00070,56,D8,2009-02-05
09-00077,56,D8,2009-02-06
09-00056,56,D8,2009-01-29
10-00207,57,D8,2010-05-26
10-00187,57,D8,2010-05-18
10-00182,57,D8,2010-05-17
10-00126,57,D8,2010-04-23
